"","Date","Dilution.percent","n","SS","Velocity","SV30","DSVI","Concentration","NewVelocity","Equipment"
"1",2022-11-15,60,1.66666666666667,3.75,0.696255888916442,251.031555781878,120.272007614607,2.25,2.50652120009919,"Smart Settler"
"2",2022-11-22,60,1.66666666666667,3.64,0.701044386422978,217.030563303686,107.124060092204,2.184,2.52375979112272,"Smart Settler"
"3",2022-11-29,50,2,3.9,0.807380738073809,245.160341399172,135.529665655542,1.95,2.90657065706571,"Smart Settler"
"10",2022-12-01,50,2,3.86,0.761703344803376,248.815744816944,138.975840887392,1.93,2.74213204129215,"Smart Settler"
"4",2022-12-14,50,2,4,0.5384768190702,259.035761670567,139.620275540436,2,1.93851654865272,"Smart Settler"
"5",2022-12-20,50,2,3.87,0.716042481833427,237.822569868888,132.492367089747,1.935,2.57775293460034,"Smart Settler"
"6",2023-01-03,50,2,3.62,0.682459234869865,245.421438077812,146.168127208774,1.81,2.45685324553151,"Smart Settler"
"7",2023-01-10,50,2,4.33,0.553938576753293,287.835115246825,143.319286021282,2.165,1.99417887631185,"Smart Settler"
"9",2023-01-18,50,2,3.69,0.6602354259333,258.647270582789,151.122903896069,1.845,2.37684753335988,"Smart Settler"
"8",2023-01-23,40,2.5,4.59,0.837413660451084,233.294098035137,136.977689369214,1.836,3.0146891776239,"Smart Settler"
"11",2023-02-03,40,2.5,4.5,0.333200605929453,304.340872993963,182.266367270829,1.8,1.19952218134603,"Smart Settler"
"12",2023-02-06,40,2.5,4.64,0.656232532140861,225.724372404533,131.104996472029,1.856,2.3624371157071,"Smart Settler"
"13",2023-02-13,40,2.5,4.97,0.485262996151617,269.234570746927,145.993393996573,1.988,1.74694678614582,"Smart Settler"
"14",2023-02-20,40,2.5,4.25,0.485262996151617,241.033249793288,152.843437221861,1.7,1.74694678614582,"Smart Settler"
"15",2023-02-22,40,2.5,5.1,0.329759062039193,314.113901483638,165.987640097726,2.04,1.18713262334109,"Smart Settler"
"16",2023-02-28,40,2.5,5.22,0.4698686860828,310.316062334557,160.211070496481,2.088,1.69152726989808,"Smart Settler"
"17",2023-03-06,40,2.5,5.12,0.345529905155938,302.534513830574,159.244241166679,2.048,1.24390765856138,"Smart Settler"
"18",2023-03-14,40,2.5,4,0.588635046131711,213.432955927178,143.800454055936,1.6,2.11908616607416,"Smart Settler"
"19",2023-03-20,40,2.5,4.48,0.436981872065586,295.290098217319,177.635449708856,1.792,1.57313473943611,"Smart Settler"
"20",2023-03-27,40,2.5,4.36,0.46606591434615,262.410221920388,162.200813778772,1.744,1.67783729164614,"Smart Settler"
